"address","name","balance","spendable","excludableBalance","chain"
0x26c44007bb9940bfcd2281a01129fa183307f7a0,,0,0,,mainnet
0x7df6a605569051a21f77d4992f005b39c8e25d51,,1.9106077515805866,1.9106077515805866,,mainnet
0xadcc19c8873193223460f67552ddec01c16ce32e,,0,0,,mainnet
0x5169a46cf0b99c0c1e8d078d3b9f9b6ed9a215ea,,405.44045355739763,405.44045355739763,,mainnet
0x12f1412fecbf2767d10031f01d772d618594ea28,,0,0,,mainnet
0xbd722f41bca276b05a27e0b716bdec2cb801d952,,497.5403639609306,497.5403639609306,,mainnet
0x65d3113f809180b1e263f38b8404941a6a7f5299,,0,0,,mainnet
0x62c12a6357bccf1000b8c0153df6361a9f8b66a3,,34.97579752316702,34.97579752316702,,mainnet
0x81abfa73afed88a8cbbfad234c68cd69ca2e4eca,,1.5651381116637717,1.5651381116637717,,mainnet
0x3abcb5d5fb4044620c319bb63c5540a04e024aa1,,0,0,,mainnet
0xbd5eb52b30d061100145165d5e4586115f88fe8e,,0,0,,mainnet
0x95e4dcdc76caeea9f269ef9da2f22eb1739d859c,,0.03185909139115213,0.03185909139115213,,mainnet
0x0cba35a3550a6f2482b5a2f24727ac659ee53cc0,,0,0,,mainnet
0x200af46fb870dcc249f142812606b5bb71fe7fd6,,0,0,,mainnet
0xb93f68ceeddd949ce1fe5a0ff940f47ee1bd15a1,,0,0,,mainnet
0xe8959b4ab97bc0143bdf0eeb72291ecf31e607f9,,0,0,,mainnet
0xc6cded296127d5f344dc44d3a0b824762d7ce4bf,,156.01992183552375,156.01992183552375,,mainnet
0xca17cbe0d204c7c838414c37a4285595b4476c6e,,0,0,,mainnet
0xbac51289f50b1cbaa825f2077179de273c5063ed,,0,0,,mainnet
0x6326c9f3934b090b82b2f92c44a1d981913e02cd,,319310.00926271785,319310.00926271785,,mainnet
0xcb892e05fa8f48d6c531cba279eea615f23a0c77,,0.000041153188152744,0.000041153188152744,,mainnet
0x8388ab6f8cecf175f88d1bdde63cb47f152ccce2,,0,0,,mainnet
0x12849ec7cb1a7b29fafd3e16dc5159b2f5d67303,,0,0,,mainnet
0x2a9c88392b04060a43b70ef9099e2870d7ad7fce,,79.93528063810432,79.93528063810432,,mainnet
0x8f950e51572e9a515f530d8e11d98e995f17717c,,0,0,,mainnet
0xf671b761674128c7bd917418d79a1af0e2232299,,0,0,,mainnet
0xa063d07bdb5519d5a4b42f40e4d3ea336bf349db,,230.1395515081159,230.1395515081159,,mainnet
0xa5f158e596d0e4051e70631d5d72a8ee9d5a3b8a,,0,0,,mainnet
0x5de9fb49b530fe594533528692feae3935504aca,,0,0,,mainnet
0x160e0c9c73c417bf4004eb6d14f68794f85a8f6a,,440.04582148655135,440.04582148655135,,mainnet
0x1f67848e80fb9854cc0d16a184562467b0738be5,,0,0,,mainnet
0x2b0a4927cd856d93fb65d2e4155b68d15a71e95f,,252.724702087576,252.724702087576,,mainnet
0xc978ac60fad52533c07e0a6779a992653c2d0312,,356.217936275884,356.217936275884,,mainnet
0xe5b76e5ca2de302824e8d4ca812454e7bb3781e3,,0,0,,mainnet
0xffb58afcff9f8b39abe78b689c3c33415cb654b9,,0,0,,mainnet
0xb88de44e7895b241c4d57122ad4893f01ecb8976,,14.398905597141336,14.398905597141336,,mainnet
0x87bbd873a05acc1989cea56ec2e40fbc15eaa802,,0,0,,mainnet
0xe58bb78efc32b63ce611ed6038b102086afe62d6,,0,0,,mainnet
0x5e41408f718d121b08f45c131891263f45779f04,,0,0,,mainnet
0x9b36f2bc04cd5b8a38715664263a3b3b856bc1cf,,0,0,,mainnet
0xdf4efa415481db3642e81e8f8a136b80cc90ad56,,0,0,,mainnet
0xd2f858ab172a8e902a3c49bc06cd43448bafcfec,,0,0,,mainnet
0x13b3a50f3947476eda74fe191344524e2d2d28e5,,0,0,,mainnet
0x6f9cee855cb1f362f31256c65e1709222e0f2037,,0,0,,mainnet
0xa7e5e873c6ac654296109d34e99d6378cb4b94d4,,0,0,,mainnet
0x4bf7cf9355a7bc540f0fee01bce4a0a604093d32,,0,0,,mainnet
0xed729a49775d34996e40efa0f18cb1eff41342bf,,318.9117804640503,318.9117804640503,,mainnet
0x7d98725fc3262107ff474a3dec6152105d1c51f5,,0,0,,mainnet
0xf93357310634869fc4ad6cf1f8bc074b47bf32b4,,0,0,,mainnet
0x47bcd8e7c6b92efad01a254e7d87875aaf95be4b,,396.0965279237017,396.0965279237017,,mainnet
0xe16e51c828c46180dac8d982a7b9404be8cdea12,,0,0,,mainnet
0x52fcd5ddd1fff1a6e96c734683728fe4902456c8,,3.4471249141866687,3.4471249141866687,,mainnet
0xf8cff0591bc14064a05251aadc7f79d69517eebd,,0,0,,mainnet
0x7208e9c0b4cdb87c4971fa620a0f926d98978c7b,,0,0,,mainnet
0xb7e181d3cd3d8df9be1f6d05c27c7c063dfa75fa,,0,0,,mainnet
0x891e8ebd0430ab4360b7b74996c2aee650a960d9,,0,0,,mainnet
0x527ca845e302b14e50d82ba94b7445941cfdab77,,0.19782323811423178,0.19782323811423178,,mainnet
0x680592ae539fa9658ceff97c0e4a7efe80906ec1,,15.879280032223694,15.879280032223694,,mainnet
0x9aa5b9922f7b1912b3798373cf48f51a54e4c14d,,177.91300106507245,177.91300106507245,,mainnet
0x56f8719319749f911b7c607e54804f2d94f9b93d,,110.83387306125861,110.83387306125861,,mainnet
0x9041f4fcda493c0a0e42e4400ae5a0f9b411f901,,0,0,,mainnet
0xa2f5802150115dbbbbad2a30afdf944066096a01,,0,0,,mainnet
0x992069b749cd27318a2a5ab74c30164cbed9ed20,,0,0,,mainnet
0x7ae4f1bbd4a4268f67eed6c9a1c4c385dcc37b1c,,0,0,,mainnet
0xfff597aeb0c488760bb8ef6872657ed7e003bce8,,0,0,,mainnet
0x9305b1b709f3972970ac01df0a571986afad585c,,208.6633621527898,208.6633621527898,,mainnet
0xdaedbddac9b3cb88d163271c851ad8564e12bf82,,0,0,,mainnet
0x942b3508077f9bdadefe4c7c2fd035db3585363e,,0,0,,mainnet
0xdd9f24efc84d93deef3c8745c837ab63e80abd27,,208.9989478161652,208.9989478161652,,mainnet
0xe5fc65c98a85bd2215eaff6c55f602f60845c5ea,,0,0,,mainnet
0x02b95bd5375ad8e6b22ebbc3a82189ec65f138f9,,0,0,,mainnet
0x896b94f4f27f12369698c302e2049cae86936bbb,,0,0,,mainnet
0x9fcdbca73f6ed9071a41f8dfaf7f81dfe0e23baf,,0,0,,mainnet
0x54ec0f31378c8fef5abd9ff0be137f5a1fe765ae,,232.60197360040937,232.60197360040937,,mainnet
0x051a28f1844b06556898b784d813b6260215315f,,239.13928252590995,239.13928252590995,,mainnet
0x000000000a38444e0a6e37d3b630d7e855a7cb13,,100.18788520382456,100.18788520382456,,mainnet
0xc63d1ee98ac3d47f6114e3427217e28a742691ea,,0,0,,mainnet
0x7bb9791eb21bcd77bdf700e81ba7529720aff152,,0,0,,mainnet
0xd03fbece58f2e3a691f3f747b01f8fc79b8051f6,,229.25772234993008,229.25772234993008,,mainnet
0x1f78dbf939fa433291196b01af73f41036b40205,,0,0,,mainnet
0xed09240c02c1c7da74ea3450f8364dd8f2cf011a,,0,0,,mainnet
0x68f01862013187e232a2e78b8edfc66856716328,,275.3164012099945,275.3164012099945,,mainnet
0xc3ffc3e7c5d2d6b1d5760ad35c3e3da05cfeea72,,0,0,,mainnet
0x195f61d13576f2ec92c812dc01faafd6433b6af7,,0,0,,mainnet
0xa4d466e943c913baa01a9c7d05a2cd98c3002b96,,0,0,,mainnet
0x262c3b3383de0a4b0b10f280f0320040800b48bd,,0,0,,mainnet
0x5c29ae59eb4f262eb5ee8326feb4007163b0c6dc,,1133.5679746500093,1133.5679746500093,,mainnet
0xa770070f4b18eb61a7cc282da3ea5d405b3abf4c,,0,0,,mainnet
0x33a44e6c05ee8e7d8efc24ec4bd52a3f856b6e7a,,0,0,,mainnet
0xc20ba3d0ce47f54ea2f160e87dae916a58fb903f,,0,0,,mainnet
0x8849f520ba63251fe21a7dc0fafab28e4ba5fee8,,500,500,,mainnet
0xdd627852e2bd9ecc3208c481e39b4014bdfda0f8,,0,0,,mainnet
0x22556feab8ad96c8d5701c9abd0d730028e8e858,,67.50752106085466,67.50752106085466,,mainnet
0x5abc5f885e235c30f99c80b9da8d21f85f65aea2,,0,0,,mainnet
0xec99bbb6137a80c959db44fdcda5d0ace324e7ce,,3556.009016647618,3556.009016647618,,mainnet
0xfe4b04ade5478f3b649614221cdcc43ee31fa27e,,0,0,,mainnet
0x3b41ce646896d54913ae18b9bdd3831ab7c9d362,,0,0,,mainnet
0x44c94b0bf6ac054911e43fcfec33167e3c9bfcf0,,0,0,,mainnet
0x91642d73d59de1569e2ecfd8a66dab8b573c09da,,473.140873364331,473.140873364331,,mainnet
0xd9f18213058aea0f251b9ce3068d93c3074addbb,,0,0,,mainnet
0x0d4fec0a4049d388337b759f43c45850b0c1d4ef,,0,0,,mainnet
0x74de5d4fcbf63e00296fd95d33236b9794016631,,0,0,,mainnet
0x4ce1428526046ac424dfb415030bb83b3ee0a8e5,,41.476487261164365,41.476487261164365,,mainnet
0x629a1c6b9120a4ba9d7d919b68e195390b5c1876,,0,0,,mainnet
0x7562be2022d31a75f9887b7b932256c704f0c8e7,,0,0,,mainnet
0x83a83ae2fd0631bc2c8ef6da568f6c8ed9168849,,0,0,,mainnet
0x484adfda2b22b76109087bfffcb1d120f8e045a9,,0,0,,mainnet
0xb0331b22161ca290a15f825a29c008dcb5e1ff68,,1.10972e-13,1.10972e-13,,mainnet
0xcee92bc4268538a5b20097e7e45ede13bd5693a0,,201.91455878576588,201.91455878576588,,mainnet
0x4d5e683efb339accddf44bfeec131c73df2b3101,,0,0,,mainnet
0x64908416c8d0914fe60d61b96353178aae1494ed,,0,0,,mainnet
0x8b9bce95528d14fb59be69a9e4aed558dbeb603e,,366.28665654646005,366.28665654646005,,mainnet
0x1bed7520ad9254da4a8a66036e137bd73f9f278a,,776.1678624654078,776.1678624654078,,mainnet
0x54f9b53c8012e83e8fe5aaa28f35b1b9dd8be667,,0,0,,mainnet
0xdc492a5263a2399a065df358da26b3bbdf83380e,,0,0,,mainnet
0x7d6bfe8ee58107faa994f0fd887acbf3bd2b7b91,,0,0,,mainnet
0x61751bc401f4eabe10a238661b4a60ba84910059,,0,0,,mainnet
0x183b7be78c2d89ed96ed22329c6901c623245ff9,,0,0,,mainnet
0xfe4e92e6856461e86d9de6ea6a763d4164318c8d,,417.4202889609467,417.4202889609467,,mainnet
0x7202a94a53e4dc11079cea84883be270557a497d,,0,0,,mainnet
0xa5ccaf257874213fe05039f2fa213e54f1af2942,,0,0,,mainnet
0xfc220fb83314b4b1e00421777cb579a68f17c439,,0,0,,mainnet
0xcb22c44a560ae3376d203f86a5f8f57549b4be27,,0,0,,mainnet
0x6f8612335a5d5eda5d38729096bc92602ba8898e,,933.6232347706092,933.6232347706092,,mainnet
0x907b4128ff43ed92b14b8145a01e8f9bc6890e3e,,0,0,,mainnet
0xa73e73f3720cf84ec012b6915c9c2c4e3978575f,,0,0,,mainnet
0x1ea3fe64eb8f3a7921c0530b9cef22a9401163df,,0,0,,mainnet
0x9770081bc590504b50b5facb185b985bccd9ef6d,,11669.926281739125,11669.926281739125,,mainnet
0xd6c870618b21634187e271772c0c8aa7e420d33c,,0,0,,mainnet
